wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price
panel,11,16,54,11.3,46.848089,30.509334,177000
monolith,15,17,53,10,46.872046,30.515883,185000
brick,4,5,54,6,46.808923,30.524192,208000
panel,6,17,53.5,9.2,46.868501,30.4881,26300
panel,4,9,53,6.5,46.831403,30.569459,27500
monolith,4,8,53,15,46.861176,30.549426,268500
brick,5,5,53,12,46.846674,30.56026,28700
stalin,2,8,53,7.5,46.809565,30.493991,29800
brick,2,5,53.4,5,46.789411,30.501821,289000
brick,2,8,54,9.2,46.8113,30.4949,34500
brick,2,9,54,8.5,46.77918,30.556083,135000
stalin,2,9,54,8.5,46.77918,30.556083,138000
monolith,6,18,53,16,46.836003,30.536365,19500
monolithBrick,19,25,53,9,46.864631,30.550035,155000
brick,5,5,53.7,7,46.813475,30.562461,157000
stalin,4,7,54,8.5,46.814406,30.50121,189000
monolith,7,26,53.2,9.5,46.861984,30.400211,19900
monolith,10,35,53.5,10,46.774745,30.548609,152000
brick,5,7,53,6.1,46.78198,30.50916,124000
monolith,10,35,53.5,10,46.774745,30.548609,155000
block,9,16,53,11,46.776917,30.550648,183000
brick,8,14,53.4,9,46.809181,30.535493,112000
panel,15,17,54,9,46.818017,30.513109,139000
brick,11,14,53,17,46.809181,30.535493,146500
panel,12,17,53,10.8,46.857574,30.502,147800
stalin,6,8,54,8.5,46.809019,30.5,176000
stalin,6,8,54,8,46.809019,30.5,225000
brick,6,8,54,8,46.809019,30.5,244500
stalin,6,8,54,8,46.809019,30.5,247500
brick,6,8,54,8,46.809019,30.5,289900
brick,6,8,54,8,46.80871,30.501219,295000
stalin,6,8,54,8.5,46.809019,30.5,299000
monolith,5,15,54,10,46.789517,30.560222,359900
monolith,14,15,53.6,7.1,46.795444,30.526896,366000
panel,7,14,54,9,46.875203,30.513296,365000
panel,6,12,53,9,46.888579,30.56143,19800
panel,4,14,54,9,46.874769,30.514419,18900
panel,13,16,53.7,9.3,46.89287,30.561526,275000
brick,4,16,54,10,46.86204,30.51441,165000
brick,5,5,54,8,46.843581,30.564024,172800
brick,9,16,53.4,12,46.86204,30.51441,199900
monolith,4,5,54,12,46.858271,30.40262,185000
panel,2,16,54,9.1,46.843646,30.554304,265000
brick,2,7,53.4,8.9,46.816429,30.524049,129000
monolithBrick,2,14,53,10,46.861333,30.503864,143000
panel,10,14,54,10,46.848933,30.481109,16800
monolith,11,17,53.5,9.2,46.868501,30.4881,185000
monolith,13,17,54,14,46.871056,30.531309,219900
brick,6,10,53,9,46.861327,30.500198,25200
panel,6,17,54,9.8,46.868435,30.485843,221000
panel,12,17,54,9,46.876496,30.485969,228000
monolith,2,17,53,15,46.870602,30.461301,24400
brick,14,14,54,10.5,46.809181,30.535493,30000
panel,9,16,53,12.5,46.80912,30.530523,319000
panel,3,8,53,9,46.77838,30.51644,319000
monolith,23,28,53,14,46.81779,30.504561,388000
brick,7,9,53,10.5,46.794092,30.504103,138000
block,6,8,54,8,46.809019,30.5,19500
monolith,12,13,53,11,46.779757,30.535233,175000
brick,7,9,53,10.5,46.794092,30.504103,179000
monolith,13,21,56.91,10,46.879495,30.5398,183000
brick,3,4,56.6,5.8,46.894167,30.530059,188000
panel,14,17,56.8,9.4,46.878566,30.50681,187880
brick,2,8,57,8,46.809196,30.50406,28800
brick,9,9,56,5,46.857897,30.406016,28600
panel,9,9,56,6,46.857897,30.406016,26100
brick,9,9,56,6,46.857897,30.406016,212000
monolithBrick,16,24,56,10,46.874799,30.548995,40500
monolithBrick,7,21,55,8.1,46.871107,30.480436,125000
monolith,9,14,57,10.5,46.871673,30.556613,208000
stalin,6,8,57,9,46.817724,30.523465,29200
brick,12,37,55,10.7,46.774745,30.548609,288000
brick,3,5,56.1,5,46.798616,30.529,31900
monolith,11,26,56,18,46.791177,30.520411,185000
brick,9,9,56.1,5.1,46.857897,30.406016,185000
panel,6,14,55,9,46.883267,30.53623,185000
brick,2,8,57,9,46.804182,30.535448,28300
panel,15,17,57,10,46.878566,30.50681,359000
panel,5,17,57,10,46.877849,30.505806,692000
panel,6,17,56.4,8.3,46.880212,30.50904,279500
monolithBrick,16,17,56.8,8,46.86935,30.403862,30800
brick,1,5,55.9,8,46.817785,30.512004,239000
monolith,12,14,55.1,9,46.884624,30.524615,249000
brick,2,5,56.5,9,46.835786,30.523609,495000
brick,1,5,56.4,5.7,46.816111,30.494566,179500
panel,6,17,56.5,10,46.877849,30.505806,205000
monolith,13,14,56,10,46.849544,30.480362,204000
monolithBrick,21,22,55.2,9.1,46.866733,30.561122,525000
brick,5,9,55.5,6,46.815908,30.490989,27500
monolithBrick,19,22,55.9,11.4,46.866733,30.561122,15499999
brick,6,7,57,9,46.782309,30.58484,19900
stalin,5,10,56.3,12,46.780178,30.515335,20000
panel,12,14,55,12,46.782922,30.508201,205000
brick,6,6,56.9,9.6,46.793328,30.516224,205000
brick,5,5,55,8.5,46.843581,30.564024,236000
monolith,19,24,55.2,10.6,46.874163,30.552436,26500
monolith,13,24,55,18,46.786313,30.542428,258700
panel,17,19,55,8,46.944621,30.349291,259900
monolith,5,29,55.7,14,46.854436,30.496129,24600
monolith,1,25,55,8,46.943971,30.34011,24600
panel,13,17,56.6,9.5,46.877849,30.505806,295000
panel,14,17,56.6,9,46.878566,30.50681,3000
panel,11,17,57,9.4,46.878566,30.50681,323500
brick,1,5,57,8,46.828465,30.526133,3300
panel,1,9,56.5,6,46.864066,30.488054,429000
monolith,17,20,56,11,46.881545,30.524884,524500
panel,2,17,56,8.5,46.878248,30.509408,209900
brick,3,4,57,8,46.894167,30.530059,28300
panel,8,17,57,10,46.878056,30.500906,21800
brick,2,9,56,6,46.816799,30.530849,185000
brick,5,5,57,6,46.838142,30.504813,185000
brick,2,9,55,6,46.83661,30.484004,195000
brick,4,5,57,6,46.775251,30.535853,195000
brick,7,8,57,8,46.842221,30.500503,20000
stalin,2,5,56.5,8,46.835786,30.523609,215000
monolith,2,22,55.8,9.4,46.863752,30.530308,239000
brick,8,9,57,5,46.864798,30.466208,25500
brick,2,9,55.2,5.6,46.816642,30.49861,28600
panel,9,18,56,9,46.843465,30.553003,595000
brick,1,5,55.7,8,46.794619,30.52203,165000
panel,4,15,56,9,46.878056,30.500906,194000
brick,3,5,56.1,6,46.799851,30.560109,209000
brick,6,9,56,7,46.868081,30.465658,249000
brick,1,8,55.7,8.3,46.800752,30.566108,264000
monolithBrick,7,24,56,12,46.868339,30.550861,278000
monolith,4,8,55.1,10,46.861176,30.549426,297000
brick,5,5,56,6,46.795444,30.50618,23400
brick,8,8,57,9,46.809565,30.493991,35060
panel,8,12,56,11,46.802325,30.568632,40000
brick,3,6,56,8,46.81211,30.568138,399900
brick,2,5,57,7.2,46.773854,30.536922,209990
panel,8,22,55,10,46.870329,30.496021,255000
brick,5,5,55,7,46.803196,30.56302,24200
monolith,16,30,56,15,46.818397,30.50353,37100
monolith,5,30,56,12,46.818397,30.50353,410400
brick,8,10,55,9,46.808872,30.490046,502000
brick,8,10,56,11,46.779864,30.513368,299500
panel,12,13,57,9,46.783615,30.564302,359500
monolithBrick,9,24,55,18,46.786313,30.542428,47800
monolithBrick,11,24,55,18,46.786313,30.542428,274900
monolithBrick,12,24,55,18,46.786313,30.542428,168000
brick,2,7,56.9,8,46.800666,30.504106,169200
monolithBrick,16,24,56,18,46.786313,30.542428,199900
stalin,1,9,55.5,8.3,46.818503,30.504009,21070
brick,9,10,56,10,46.779864,30.513368,25050
monolithBrick,19,35,56,10,46.77472,30.551852,26040
monolith,41,43,56,17,46.774254,30.546525,26080
monolith,23,44,55,8,46.774254,30.546525,37050
monolith,28,44,55,14,46.774254,30.546525,385000
monolithBrick,23,38,55,10,46.774254,30.546525,139000
monolith,2,22,55,15,46.779874,30.503995,149900
panel,17,19,55,8.5,46.944621,30.349291,159100
panel,14,20,56,10,46.944621,30.349291,173000
block,9,9,57,6,46.890467,30.530021,179000
panel,2,3,57,18,46.814725,30.490569,219000
panel,14,17,56.5,9.4,46.878566,30.50681,29200
panel,6,17,56.8,9.4,46.878566,30.50681,295000
brick,2,8,55.6,7.1,46.872592,30.462433,46000
panel,2,16,56,9.1,46.871072,30.461292,238000
monolith,2,14,55,10.3,46.871673,30.556613,212500
panel,17,17,55.6,10,46.879379,30.565515,22060
brick,8,9,55,6,46.846563,30.4052,225000
monolithBrick,13,24,55,10.5,46.877329,30.548204,287000
brick,5,5,55,6,46.7993,30.55354,30000
monolith,7,18,55,9.1,46.86989,30.529519,41500
panel,3,18,56,9.6,46.845213,30.556235,22070
monolith,6,20,56,10,46.883737,30.52633,24000
brick,9,9,56.3,5.7,46.799892,30.505316,265000
monolith,10,19,56.4,8.1,46.871107,30.480436,278000
brick,7,9,56.7,6,46.811639,30.535592,345400
panel,21,22,57,10,46.86406,30.51202,229000
panel,2,9,57,6,46.860069,30.50056,258000
panel,5,5,55,6,46.803772,30.53641,268000
brick,2,14,55,8,46.849974,30.480362,49600
panel,12,16,56.4,10,46.890093,30.523438,64750
brick,6,8,56,7,46.80233,30.504238,235000
brick,4,5,56,8.5,46.773105,30.543524,155000
brick,4,5,56.7,4.9,46.797311,30.50893,155000
panel,2,14,56,9,46.822857,30.521516,168000
panel,22,22,57,10,46.86406,30.51202,185000
brick,2,5,56,8,46.801931,30.565084,185000
panel,2,5,55,6,46.80439,30.543641,199900
panel,9,22,57,10,46.846057,30.564106,20000
monolith,20,37,56,10,46.860514,30.4606,227700
block,4,5,56,16,46.801602,30.562622,263000
panel,5,8,56.6,8.4,46.777783,30.51626,279000
stalin,10,10,56,10,46.780178,30.515335,31000
panel,1,9,58.5,6,46.82489,30.520166,398000
monolith,1,5,58,6,46.801946,30.548591,442000
brick,4,9,58,6,46.850343,30.505005,195000
panel,9,9,58.9,7,46.865733,30.488242,213000
panel,17,17,58.8,9,46.858347,30.500002,169000
stalin,7,9,58.4,8.5,46.806059,30.513296,195000
panel,9,16,58.1,10,46.7747,30.542312,24200
panel,4,9,58,10,46.846573,30.554403,44000
panel,3,9,58.4,6.8,46.871602,30.560664,194990
panel,13,17,58,10,46.877849,30.505806,56000
panel,7,17,58,10,46.877849,30.505806,46500
panel,7,12,58.4,12,46.884999,30.535862,29900
panel,7,16,58,10.4,46.883292,30.486535,43900
panel,2,22,58,10,46.846057,30.564106,48900
brick,11,16,58,10.1,46.86204,30.51441,80500
panel,3,5,59,6,46.860691,30.510808,80500
panel,1,9,58.4,6.5,46.827287,30.500034,158950
panel,7,9,58,7,46.792873,30.506035,105000
panel,7,9,59,6,46.805351,30.50139,48500
panel,5,17,58,10.5,46.873314,30.48031,84500
panel,3,5,58.5,6,46.883464,30.521848,84499
monolith,16,18,58,11,46.862181,30.56045,105000
stalin,2,5,58.8,9,46.839148,30.540165,95000
panel,7,17,58,10.1,46.882404,30.560925,80000
panel,1,17,58,10,46.780876,30.533544,95000
panel,1,5,58,6,46.859686,30.510908,115000
panel,10,14,58,10,46.854481,30.499426,99000
brick,3,4,58,8,46.799618,30.549166,108000
stalin,1,5,58.1,9.6,46.823737,30.510682,83000
brick,9,9,59,12.5,46.784951,30.506044,85000
stalin,9,9,59,12,46.784951,30.506044,89000
monolith,12,26,58.2,18,46.791177,30.520411,108000
brick,3,6,58,10,46.823156,30.500881,18000
monolith,4,8,59,11,46.781509,30.500465,115000
panel,1,9,58.2,6,46.846492,30.499686,115000
brick,1,5,58,8.5,46.84495,30.481523,115000
monolith,13,22,58,8.5,46.863752,30.530308,20800
panel,9,16,58,10.2,46.894243,30.526124,85000
brick,5,5,58,9,46.812089,30.550026,90000
stalin,2,5,59,10,46.82845,30.529699,105000
brick,8,8,59,9,46.845294,30.56009,108500
panel,5,9,58,6.1,46.866768,30.496623,110000
monolithBrick,5,18,59,9.3,46.86989,30.529519,145000
monolith,3,22,58,10,46.86307,30.530694,96000
panel,3,5,58.6,5.8,46.854785,30.504061,88800
panel,3,17,59,12.8,46.883217,30.52059,95000
panel,21,22,58,10,46.862242,30.490804,69000
brick,7,9,58.2,8.5,46.806059,30.513296,94000
monolith,12,24,58.5,5.6,46.880688,30.541351,95000
brick,5,5,59,5.8,46.826867,30.494288,165000
brick,8,12,58,8,46.788469,30.550565,89000
brick,9,9,59,9,46.805189,30.51602,99990
stalin,4,9,59,10,46.825103,30.501183,105000
panel,8,17,58.1,9,46.77831,30.526618,11005
brick,8,8,58.3,9,46.784951,30.506044,115000
monolith,16,26,58,15,46.791177,30.520411,16600
block,10,12,58,6,46.885958,30.525506,12000
panel,5,9,58.5,6,46.881374,30.522863,107000
monolith,9,13,60,6,46.789391,30.536823,11000
monolith,13,24,61.3,15.1,46.880576,30.542096,111000
monolith,11,22,61,3,46.880631,30.53934,166000
monolith,7,13,62,15,46.785169,30.564033,11900
panel,2,17,60.1,13,46.86695,30.553102,92000
block,7,25,60,10.8,46.865823,30.404408,95000
monolithBrick,6,19,60.9,15.4,46.784977,30.56194,108000
monolith,19,22,62,16,46.880945,30.54118,115000
monolithBrick,7,21,61.5,15,46.784977,30.56194,135000
monolith,15,25,60.1,11,46.865823,30.404408,135000
brick,1,8,62,8.5,46.812818,30.502225,79500
monolith,18,18,60,8.6,46.862525,30.530452,82000
monolith,3,24,62,12,46.856396,30.408102,83000
panel,9,9,60,6,46.867576,30.565515,93500
panel,12,15,61,10.5,46.858993,30.559011,94500
panel,4,25,60,11,46.945332,30.34514,98000
panel,2,9,60.3,6,46.868986,30.560213,109000
panel,6,9,60,6,46.862676,30.512955,122000
panel,3,22,60,10,46.871284,30.490548,13990
panel,7,9,60,6,46.805351,30.50139,15000
monolith,3,20,62,16,46.880576,30.542096,165000
panel,4,24,61.3,10,46.862004,30.400662,164000
panel,14,17,60,13,46.872506,30.550403,22000
panel,5,17,62,13,46.863707,30.565003,99900
brick,2,6,60,8.8,46.794492,30.514122,145000
brick,1,5,60.7,6.8,46.776203,30.50616,176000
panel,1,9,60,6,46.891628,30.532816,97500
monolith,12,14,61.3,10.8,46.878167,30.538242,109000
panel,20,22,60,10,46.846057,30.564106,93500
panel,14,25,60,10,46.94751,30.348043,81000
monolith,4,28,60.8,15,46.853658,30.498305,89000
panel,7,9,60,6,46.865015,30.560545,99000
panel,13,17,60,9,46.878566,30.50681,92500
brick,6,8,60,10,46.861176,30.549426,93500
panel,5,9,60,6.5,46.885322,30.52068,99500
panel,6,9,60,7,46.892006,30.534299,10200
monolithBrick,20,24,62,10,46.876157,30.505292,11000
panel,5,14,60.2,12.9,46.872501,30.51354,126000
panel,3,22,60,10.3,46.871284,30.490548,133500
monolith,20,25,62,11,46.871041,30.405243,218000
panel,5,17,60,13,46.876238,30.548393,86000
monolithBrick,12,15,62,11,46.887968,30.530101,87000
panel,8,12,60.9,11,46.811463,30.530346,107990
brick,1,5,61.1,9,46.773854,30.536922,136000
monolith,12,18,60.5,10.4,46.858993,30.559011,137000
panel,16,18,62,15,46.858529,30.55984,115000
brick,2,7,61.1,10,46.786446,30.560405,20110
panel,10,17,60,10,46.854325,30.499022,20110
stalin,1,5,61.1,6.8,46.773854,30.536922,20390
panel,7,9,60.7,8.6,46.834239,30.500321,206340
brick,6,8,60,10,46.782896,30.565201,127000
panel,16,17,62,10,46.775322,30.534245,15000
brick,2,6,60,9,46.794492,30.514122,19900
brick,4,6,62,10,46.78195,30.51248,19900
monolith,7,13,62,15,46.785169,30.564033,106000
stalin,4,9,61.1,12,46.815822,30.505921,81000
brick,4,9,61.1,12,46.815822,30.505921,10000
stalin,4,9,61,12,46.815822,30.505921,10000
stalin,4,9,61.1,11.8,46.815822,30.505921,108500
brick,4,9,61,11.8,46.815822,30.505921,115000
brick,8,9,61,8,46.80529,30.508204,12000
panel,16,17,62,10,46.775322,30.534245,12000
panel,7,17,60,13,46.830275,30.501618,125000
brick,8,9,61,9.6,46.776856,30.504911,12990
monolith,7,13,61,10,46.784303,30.562005,134000
brick,12,12,62,9,46.799345,30.523968,149000
brick,12,12,62,30,46.797832,30.543084,157500
brick,12,12,62,12,46.797832,30.543084,159000
brick,12,12,62,12,46.797832,30.543084,179000
monolith,4,16,61,12,46.799937,30.505903,26489
monolith,7,26,60,15,46.791177,30.520411,105000
monolith,12,23,60,15,46.782572,30.531936,11000
monolith,15,15,61.7,14,46.795444,30.526896,111000
block,5,8,61,9,46.835124,30.485933,125000
panel,3,12,62,7,46.86013,30.524022,13000
block,1,8,60,6,46.835124,30.485933,103000
panel,3,9,60.2,7,46.873445,30.56423,21000
monolith,20,25,60,10,46.94751,30.348043,124000
panel,16,17,60,10,46.878056,30.500906,106990
panel,9,9,60,6,46.830447,30.525549,124000
panel,4,16,60,10.5,46.894964,30.526062,139000
brick,3,9,60,5.5,46.864308,30.466018,165000
brick,3,9,60,5.5,46.864308,30.466018,105000
panel,7,9,60.2,8,46.883318,30.562301,114500
panel,1,9,62,8,46.876789,30.535448,124000
panel,10,17,60,10,46.876046,30.536185,125000
panel,1,17,60,10.5,46.857574,30.502,132000
panel,8,9,61,6.5,46.865485,30.504151,139500
monolith,11,21,62,10,46.879495,30.5398,109900
panel,17,17,62,8,46.867607,30.462936,13000
panel,16,22,61,11,46.862242,30.490804,146000
panel,7,9,61,7,46.846371,30.488009,15000
brick,5,5,60,10,46.847705,30.520653,18000
panel,20,22,60,10,46.846057,30.564106,132500
panel,15,17,60.2,12.6,46.874784,30.535215,166000
brick,2,9,60,10,46.806059,30.513296,192500
monolith,1,25,60.2,11,46.865823,30.404408,90000
panel,4,9,60,8,46.832424,30.50068,11000
monolith,11,11,60,12.6,46.859504,30.56132,139890
monolith,4,22,62,11,46.858736,30.482924,148000
panel,17,17,60,12.9,46.866718,30.553918,169500
brick,8,10,62,8,46.819894,30.495206,175000
monolith,6,24,60.5,11,46.86996,30.493632,189000
monolith,6,13,60,11.7,46.863469,30.559523,189000
panel,12,14,62,12,46.858469,30.564491,205000
stalin,8,9,61,9.4,46.825103,30.501183,105000
monolith,6,20,60.76,11,46.883737,30.52633,146500
brick,8,11,61.5,6,46.783286,30.558589,153000
brick,3,11,62,6,46.783286,30.558589,166000
monolith,8,19,60.2,13,46.785169,30.564033,19800
panel,9,17,60.6,13,46.835412,30.534622,188900
brick,3,6,62,9,46.781793,30.568138,188900
monolith,14,37,60.3,10,46.774745,30.548609,189000
brick,1,8,60,8,46.783464,30.501812,192500
brick,2,7,61,10,46.792615,30.511033,19600
panel,2,12,61.3,8,46.777003,30.55268,145000
brick,8,8,60,9.5,46.782896,30.565201,122000
stalin,4,9,60,8,46.802401,30.518901,134900
stalin,6,9,62,9.4,46.793116,30.511481,134000
monolith,12,24,62,14,46.77634,30.525109,145500
monolith,12,23,60,11,46.797058,30.526825,21300
monolith,5,6,61.8,15,46.781626,30.580894,239000
wood,1,1,62,10,46.802492,30.505301,99000
monolith,12,24,60,12,46.865414,30.560098,155000
monolith,21,22,63.3,16.2,46.779757,30.535233,13600
panel,17,17,63,13,46.871895,30.480103,245000
monolith,22,22,63.9,13,46.878793,30.539149,285000
panel,5,14,64,13,46.872501,30.51354,307500
brick,2,5,63,9,46.811017,30.525989,346500
monolith,26,37,64,11,46.774745,30.548609,98000
panel,5,12,63.9,6.7,46.88511,30.492033,133000
panel,9,17,64,14,46.867869,30.526941,176900
panel,2,9,63,8.1,46.829876,30.500635,185000
monolith,8,36,64,15,46.837181,30.490315,213000
panel,6,12,64,9,46.782922,30.508201,105000
monolith,9,40,64,14,46.774745,30.548609,114000
monolithBrick,6,17,64,12.6,46.781514,30.534029,16200
stalin,4,7,64,10,46.794345,30.5118,123000
panel,1,9,64,6,46.877273,30.534056,124990
panel,4,12,63,8.5,46.86107,30.523321,128900
panel,5,12,64,9.3,46.872516,30.494359,132000
panel,3,12,63,7.1,46.874733,30.46522,134900
panel,5,12,64,8.5,46.86013,30.524022,137000
panel,3,9,64,7,46.866768,30.496623,149900
panel,3,9,63.7,7,46.866768,30.496623,157000
panel,7,9,63,8,46.892304,30.535002,168000
monolithBrick,10,15,64,12,46.887968,30.530101,173400
panel,4,9,63.3,8.2,46.817385,30.51008,185000
monolithBrick,9,15,64,12,46.887968,30.530101,187000
panel,2,17,63.7,13,46.86695,30.553102,216500
block,1,12,64,9,46.807157,30.500612,219000
monolithBrick,7,15,64,12,46.887968,30.530101,227000
block,1,12,64,9,46.806373,30.49948,116000
monolith,16,18,63,15,46.858529,30.55984,132000
brick,1,6,63.1,7.5,46.785321,30.502639,137000
brick,1,6,63,7.5,46.785321,30.502639,138500
brick,2,8,64,8.5,46.81606,30.511463,139000
monolith,22,36,63.4,13.7,46.837181,30.490315,139500
stalin,1,6,64,7.5,46.794285,30.512946,145000
monolithBrick,21,25,63,13,46.865823,30.404408,152000
panel,11,12,63,10,46.831767,30.52095,156100
monolith,22,36,63.6,13.7,46.837181,30.490315,147000
monolith,35,36,63.7,13.7,46.837181,30.490315,189900
panel,17,17,64,13,46.836777,30.530238,16300
monolith,34,36,63.5,14.7,46.837181,30.490315,18500
monolith,34,36,63.6,14.2,46.837181,30.490315,185000
brick,2,6,64,9,46.780102,30.559164,205000
brick,2,6,64,10,46.780102,30.559164,16400
monolith,9,35,64,11,46.774745,30.548609,205000
monolithBrick,9,37,64,12,46.774745,30.548609,145000
monolith,9,35,63.9,12.5,46.774745,30.548609,155000
monolithBrick,4,16,64,15,46.799937,30.505903,165000
monolith,11,40,63.8,20,46.827671,30.480559,177990
monolith,9,42,64,20,46.827671,30.480559,189900
monolith,6,6,63,15,46.780891,30.580984,19182806
panel,1,9,64,6,46.892006,30.534299,22000
panel,1,9,64,6,46.877273,30.534056,219990
panel,7,12,63.2,6.6,46.86549,30.532592,239000
panel,8,12,63,7,46.880844,30.490048,268000
panel,7,12,63.5,6.5,46.875299,30.531029,113500
brick,5,5,63.5,7,46.83432,30.522656,139900
panel,8,9,63.2,6,46.894868,30.53102,139500
panel,13,14,63,8,46.871531,30.468605,155000
block,12,12,64,9,46.861999,30.468928,19700
panel,8,17,63,7.7,46.846937,30.49815,23000
panel,4,9,63,8.2,46.829876,30.500635,201000
brick,3,12,63,10,46.811816,30.491826,30100
panel,4,14,64,9,46.848933,30.481109,153000
brick,4,12,64,11,46.808776,30.493228,152500
monolith,8,35,64,7,46.856649,30.48192,163000
brick,1,9,63,9.4,46.793116,30.511481,24300
brick,4,6,63,10,46.78195,30.51248,259500
monolith,18,18,64,14.6,46.825103,30.561455,31300
stalin,6,11,64,11,46.783286,30.558589,183000
monolith,7,36,64,28,46.837181,30.490315,263000
panel,2,9,63.3,6,46.866,30.565138,143000
monolith,17,19,66.2,12,46.948528,30.34631,145000
monolith,4,15,66.1,10,46.795444,30.526896,145000
monolithBrick,2,6,65,28.6,46.781053,30.500393,149900
monolith,11,15,65.8,11.7,46.887968,30.530101,153000
brick,1,5,65.9,9,46.89467,30.5412,173000
block,1,14,66,10,46.868405,30.543282,176000
monolith,14,15,65,11.5,46.887968,30.530101,179000
monolith,4,26,66,30,46.840533,30.493614,185000
monolith,4,26,65.7,15,46.840533,30.493614,189000
panel,10,16,65,9,46.800666,30.559011,191000
monolithBrick,10,32,65,8,46.806646,30.542958,199000
monolith,19,32,66.4,12,46.80653,30.545995,19900
monolith,12,37,66.1,8,46.774745,30.548609,19100
brick,7,8,65.2,10,46.804182,30.535448,118000
monolithBrick,26,32,67,20,46.774745,30.548609,131000
panel,8,12,66.5,9.5,46.875935,30.510134,135000
panel,11,16,65,8.5,46.861742,30.403168,18500
monolith,4,26,66,10,46.84073,30.494404,165000
monolith,9,40,65,12,46.774745,30.548609,16700
monolithBrick,2,3,67,20,46.797341,30.522209,175000
monolith,12,40,66.1,20,46.775008,30.550289,177000
panel,1,9,66,6,46.881242,30.55118,176000
monolithBrick,11,25,65.8,12,46.887968,30.530101,179500
panel,2,19,66.2,11.5,46.946602,30.350359,149900
monolith,18,19,66.2,11.4,46.948528,30.34631,255000
panel,16,19,66.2,11.4,46.948528,30.34631,107000
panel,7,19,66.2,11.5,46.948528,30.34631,134500
panel,10,12,65,10,46.859469,30.510581,169880
brick,1,5,66,8,46.89467,30.5412,172000
monolith,11,19,66.2,11.4,46.946602,30.350359,188900
panel,11,12,66.4,9,46.863808,30.510556,201280
panel,11,17,66,9,46.876975,30.50515,225000
brick,3,6,65.2,15,46.774143,30.529089,225000
panel,1,14,67,10,46.86798,30.542304,31800
panel,11,12,65,9,46.868465,30.499085,157000
panel,11,12,65,6.5,46.864864,30.532592,198000
monolith,10,15,65.8,11.7,46.887968,30.530101,208500
panel,4,12,65,7.5,46.849797,30.523088,26100
panel,9,16,66.4,7.5,46.858468,30.511454,213000
monolithBrick,12,15,65,12,46.887968,30.530101,24300
monolithBrick,11,15,65,12,46.887968,30.530101,29600
brick,2,5,65,8,46.798753,30.502423,356000
block,4,12,65,10,46.861999,30.468928,198000
monolith,3,24,65,20.3,46.880576,30.542096,369000
brick,3,5,67,8.5,46.82398,30.525091,249400
brick,3,5,67,8.5,46.82398,30.525091,249500
block,11,12,65,8,46.834603,30.529196,271920
monolithBrick,11,24,66,12,46.841261,30.494422,27013500
panel,5,12,67,8,46.808027,30.56664,222000
monolith,13,36,65.2,11.4,46.837181,30.490315,40100
monolith,8,36,66.4,13.1,46.837181,30.490315,185000
monolith,8,36,66.4,13.1,46.837181,30.490315,19900
panel,11,16,65,8.5,46.861742,30.403168,50000
monolith,10,36,66.9,13.1,46.837181,30.490315,123000
monolith,10,36,66.9,13.1,46.837181,30.490315,144900
panel,11,16,65,7.8,46.861742,30.403168,148000
monolith,12,36,66.7,13.1,46.837181,30.490315,19500
block,11,14,65,9.5,46.778618,30.505585,175000
stalin,2,9,66.3,8,46.784951,30.506044,177000
brick,2,6,66.5,7.8,46.798915,30.542303,185000
brick,4,5,65.8,7.7,46.800484,30.5169,208000
block,8,8,65.7,8,46.835124,30.485933,26300
brick,2,8,65.5,8,46.807329,30.526124,27500
monolith,9,40,65,12,46.774745,30.548609,268500
monolith,9,40,65,12,46.774745,30.548609,28700
monolith,4,26,66,10,46.84073,30.494404,29800
monolith,15,37,65,14,46.775008,30.550289,289000
monolith,9,35,65,12,46.774745,30.548609,34500
monolith,37,37,67,12,46.774745,30.548609,135000
brick,6,9,66.4,12,46.817092,30.50036,138000
brick,6,8,66,10,46.783464,30.501812,19500
monolith,15,32,67,31,46.806646,30.542958,155000
brick,4,4,65,9,46.801936,30.516081,157000
monolith,19,32,66.4,12,46.80653,30.545995,189000
monolith,23,32,65,10,46.77472,30.551852,19900
monolith,15,34,66.3,10,46.80653,30.545995,152000
monolith,15,34,66.3,10,46.80653,30.545995,124000
monolith,4,15,66.1,10,46.795444,30.526896,155000
monolith,20,37,67,15,46.774745,30.548609,183000
monolith,11,23,67,14,46.799937,30.505903,112000
monolith,8,18,65,15,46.825103,30.561455,139000
monolith,31,32,67,10,46.806646,30.542958,146500
panel,1,14,67,9,46.851485,30.505606,147800
brick,4,5,66,9,46.833708,30.519809,176000
panel,9,16,65.2,8,46.894258,30.532502,225000
brick,4,5,65,12,46.828465,30.526133,244500
brick,5,8,65.4,9.3,46.814214,30.506,247500
brick,1,9,65,7,46.810046,30.506618,289900
monolith,6,26,66,15,46.840533,30.493614,295000
panel,18,19,66.3,12,46.869814,30.408863,299000
brick,1,7,66.3,7.6,46.782709,30.562604,359900
monolith,11,15,65.2,12,46.887968,30.530101,366000
monolith,3,15,65,11.6,46.887968,30.530101,365000
panel,6,12,65,8,46.857761,30.482331,19800
monolith,3,15,65.2,11.7,46.887968,30.530101,18900
monolithBrick,21,24,65.9,22.1,46.879935,30.530101,275000
panel,13,14,65,8.2,46.849317,30.482268,165000
brick,3,5,67,8.5,46.82398,30.525091,172800
block,13,16,65,9,46.833203,30.528909,199900
brick,6,8,65,8.5,46.81167,30.503115,185000
